"","Close","Volume","Today","Lag1","Lag2","AVolume","TodayV","Lag1V","Lag2V","AClose","Lag1BullC","Lag1BullV","Direction"
"2002-07-18",881.559998,1736300000,-0.0277689324102023,0.00562886420448874,-0.0188580715278307,1604186333.33333,-0.478143178022231,0.28162867718683,-0.396539567174703,977.165338166667,-76.7366943666667,976853666.666667,"Down"
"2002-07-19",847.75,2654100000,-0.0398820383367738,-0.0277689324102023,0.00562886420448874,1639273000,0.34580460419728,-0.478143178022231,0.28162867718683,971.1186707,-95.6053401666668,132113666.666667,"Down"
"2002-07-22",819.849976,2248060000,-0.0340306456263164,-0.0398820383367738,-0.0277689324102023,1669498333.33333,-0.180617955036787,0.34580460419728,-0.478143178022231,964.196002266667,-123.3686707,1014827000,"Down"
"2002-07-23",797.700012,2441020000,-0.0277672855293876,-0.0340306456263164,-0.0398820383367738,1709992333.33333,0.079048922171879,-0.180617955036787,0.34580460419728,956.428003,-144.346026266667,578561666.666667,"Down"
"2002-07-24",843.429993,2775560000,0.0542190595301725,-0.0277672855293876,-0.0340306456263164,1762097666.66667,0.120530631656314,0.079048922171879,-0.180617955036787,950.755670233333,-158.727991,731027666.666667,"Up"
"2002-07-25",838.679993,2424700000,-0.0056636619922326,0.0542190595301725,-0.0277672855293876,1783063666.66667,-0.144702437414938,0.120530631656314,0.079048922171879,944.703003,-107.325677233333,1013462333.33333,"Down"
"2002-07-26",852.840027,1796100000,0.0166033881521839,-0.0056636619922326,0.0542190595301725,1796083666.66667,-0.349980513334447,-0.144702437414938,0.120530631656314,939.479003966667,-106.02301,641636333.333333,"Up"
"2002-07-29",898.960022,1778650000,0.0513037219357014,0.0166033881521839,-0.0056636619922326,1803738666.66667,-0.00981081157057319,-0.349980513334447,-0.144702437414938,935.8686707,-86.6389769666666,16333.3333332539,"Up"
"2002-07-30",902.780029,1826090000,0.00423138181759671,0.0513037219357014,0.0166033881521839,1823388333.33333,0.0259790043207071,-0.00981081157057319,-0.349980513334447,931.422336866667,-36.9086487000001,-25088666.6666667,"Up"
"2002-07-31",911.619995,2049360000,0.00969698563928493,0.00423138181759671,0.0513037219357014,1851930333.33333,0.108946207596518,0.0259790043207071,-0.00981081157057319,927.2383362,-28.6423078666667,2701666.66666675,"Up"
"2002-08-01",884.659973,1672200000,-0.0304750105383145,0.00969698563928493,0.00423138181759671,1863133666.66667,-0.225547183351274,0.108946207596518,0.0259790043207071,922.727335633333,-15.6183412,197429666.666667,"Down"
"2002-08-02",864.23999,1538100000,-0.0236276766132981,-0.0304750105383145,0.00969698563928493,1868080333.33333,-0.0871854885898186,-0.225547183351274,0.108946207596518,917.992336033333,-38.0673626333333,-190933666.666667,"Down"
