Entity["Person", "ShirleyDavis::p995s"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "SheilaDixon::zq3b7"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "ShahidMalik::959vt"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "SeanMurphy::tm888"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "ScottNeuman::5djby"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "ScottMorrison::8qm24"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "ScottCTate::mb925"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "ScottBradley::s26sx"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "SarathFonseka::6r725"]	Missing["NotAvailable"]	{Entity["Country", "SriLanka"]}
Entity["Person", "SamuelWalker::25w5f"]	DateObject[{1893, 2, 6}, "Day", "Gregorian", -5.]	{Entity["Country", "UnitedStates"]}
Entity["Person", "SalvaKiirMayardit::4pqpz"]	Missing["NotAvailable"]	{Entity["Country", "SouthSudan"]}
Entity["Person", "RoyRomer::ftd5f"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "RoyCooper::472n3"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "RonRamsey::bg6rn"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "RonLewis::9h2x8"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "RogerMarshall::n668w"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "RodneyDavis::274p3"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "RickMetsger::766m6"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "RickMartin::656b4"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "RichardRTisei::ngr2b"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "RichardNugent::x5j3y"]	DateObject[{1987, 5, 27}, "Day", "Gregorian", -5.]	{Entity["Country", "UnitedStates"]}
